_loc,complexity,_too,volume,_pl,difficulty,_i,effort,bugs,time,total_lines,comments,blanks,unique_operators,unique_operands,total_operators,total_operands,result
9,1,49,230.32,0.14,7.19,32.04,1655.44,0.08,91.97,8,0,1,10,16,26,23,0.3362
22,2,60,271.41,0.07,14.3,18.98,3881.22,0.09,215.62,15,0,5,13,10,38,22,0.2704
29,5,94,461.25,0.07,14.67,31.45,6764.97,0.15,375.83,26,0,1,12,18,50,44,0.1981
11,2,23,94.01,0.16,6.42,14.65,603.24,0.03,33.51,9,0,0,11,6,16,7,0.351
47,5,122,586.5,0.03,29.42,19.93,17256.56,0.2,958.7,29,7,7,15,13,71,51,0.3328
15,1,63,288.85,0.21,4.67,61.9,1347.98,0.1,74.89,10,0,3,6,18,35,28,0.3082
29,7,87,438.86,0.04,22.8,19.25,10006.06,0.15,555.89,22,0,5,18,15,49,38,0.2127
34,8,93,460.74,0.03,40,11.52,18429.61,0.15,1023.87,19,3,9,20,11,49,44,0.3265
28,6,71,329.71,0.09,10.67,30.91,3516.95,0.11,195.39,23,0,3,10,15,39,32,0.2186
15,3,30,114.22,0.09,11.7,9.76,1336.38,0.04,74.24,12,0,1,9,5,17,13,0.3165
33,4,71,372.6,0.06,15.44,24.13,5753.43,0.12,319.63,24,3,4,21,17,46,25,0.3162
27,2,21,79.95,0.15,6.67,11.99,533.03,0.03,29.61,7,1,16,8,6,11,10,0.4399
20,5,37,167.37,0.08,12.57,13.31,2104.1,0.06,116.89,11,4,3,16,7,26,11,0.4281
16,1,79,352.3,0.12,8.63,40.81,3041.48,0.12,168.97,10,0,4,7,15,42,37,0.3022
17,5,58,254.75,0.05,19.5,13.06,4967.71,0.08,275.98,12,1,2,13,8,34,24,0.3495
5,1,17,60.94,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,6,6,10,7,0.4696
24,3,100,485.8,0.08,11.84,41.02,5752.87,0.16,319.6,21,0,1,10,19,55,45,0.2194
19,6,66,330,0.1,10.26,32.15,3386.84,0.11,188.16,16,0,1,13,19,36,30,0.2529
11,3,15,49.83,0.4,2.5,19.93,124.57,0.02,6.92,9,0,0,5,5,10,5,0.3689
4,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,3,2,3,2,1
4,1,9,27,0.5,2,13.5,54,0.01,3,2,0,0,4,4,5,4,0.8808
10,2,26,108.42,0.2,5,21.68,542.09,0.04,30.12,8,0,0,9,9,16,10,0.3578
15,3,40,183.4,0.09,10.64,17.24,1950.69,0.06,108.37,14,0,1,13,11,22,18,0.2875
7,2,19,68.11,0.13,7.5,9.08,510.86,0.02,28.38,5,0,0,9,3,14,5,0.4165
23,3,72,356.7,0.09,11.53,30.94,4112.56,0.12,228.48,19,1,1,14,17,44,28,0.2985
7,2,34,144.43,0.14,7.22,20,1043.09,0.05,57.95,4,0,1,10,9,21,13,0.4148
10,4,55,233.64,0.07,14.08,16.59,3290.37,0.08,182.8,8,0,0,13,6,42,13,0.3318
4,1,10,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2,0,0,5,4,6,4,0.5901
100,11,196,1143.25,0.04,23.24,49.19,26572.76,0.38,1476.26,63,28,7,20,37,110,86,0.3387
26,4,85,417.09,0.07,14.15,29.48,5900.54,0.14,327.81,21,0,3,13,17,48,37,0.2227
61,11,180,1005.29,0.03,32.15,31.27,32324.04,0.34,1795.78,55,0,4,22,26,104,76,0.0953
24,7,65,280.93,0.06,17.11,16.42,4806.94,0.09,267.05,18,0,4,11,9,37,28,0.2453
21,3,39,168.56,0.11,9,18.73,1517,0.06,84.28,15,0,3,12,8,27,12,0.2835
36,4,104,510.32,0.06,15.68,32.54,7999.96,0.17,444.44,27,0,7,13,17,63,41,0.1928
19,4,46,210.91,0.08,11.9,17.72,2509.81,0.07,139.43,15,0,2,14,10,29,17,0.2753
4,1,6,13.93,0.25,4,3.48,55.73,0,3.1,2,0,0,4,1,4,2,0.8957
34,5,52,241.48,0.1,10.15,23.78,2451.96,0.08,136.22,20,6,4,12,13,30,22,0.3847
10,4,43,188.87,0.11,8.8,21.46,1662.05,0.06,92.34,7,0,1,11,10,27,16,0.3509
22,1,56,263.22,0.16,6.09,43.23,1602.57,0.09,89.03,13,0,6,9,17,33,23,0.2862
8,2,8,22.46,0.4,2.5,8.98,56.15,0.01,3.12,4,0,2,5,2,6,2,0.8129
13,2,31,126.71,0.14,7.31,17.33,926.58,0.04,51.48,9,0,2,9,8,18,13,0.3419
6,1,7,19.65,0.33,3,6.55,58.95,0.01,3.28,2,0,2,6,1,6,1,0.8756
4,1,9,27,0.33,3,9,81,0.01,4.5,2,0,0,6,2,7,2,0.5898
8,1,18,66.61,0.4,2.5,26.64,166.52,0.02,9.25,4,0,0,5,8,10,8,0.4396
61,13,210,1202.86,0.03,32.29,37.25,38840.84,0.4,2157.82,45,4,10,22,31,119,91,0.2239
8,1,37,159.91,0.14,7.33,21.81,1172.68,0.05,65.15,7,0,1,11,9,25,12,0.36
8,2,37,162.52,0.13,7.7,21.11,1251.37,0.05,69.52,5,0,1,11,10,23,14,0.39
27,6,85,425,0.07,13.5,31.48,5737.5,0.14,318.75,23,0,1,16,16,58,27,0.2108
42,2,171,739.05,0.02,65.33,11.31,48284.58,0.25,2682.48,28,3,8,14,6,115,56,0.2835
68,9,141,734.53,0.03,35.08,20.94,25765.15,0.24,1431.4,35,22,9,24,13,103,38,0.3919
27,4,46,218.72,0.11,9.29,23.55,2031.02,0.07,112.83,14,7,3,13,14,26,20,0.4332
40,11,126,679.43,0.07,15.28,44.47,10380.21,0.23,576.68,30,0,8,15,27,71,55,0.1647
57,4,212,1190.32,0.04,23.03,51.68,27413.4,0.4,1522.97,49,1,5,16,33,117,95,0.1707
22,3,64,285.4,0.06,18,15.86,5137.27,0.1,285.4,14,2,3,12,10,34,30,0.3585
42,5,62,267.96,0.08,12.83,20.88,3438.81,0.09,191.05,17,20,3,11,9,41,21,0.4887
4,1,8,24,0.4,2.5,9.6,60,0.01,3.33,2,0,0,5,3,5,3,0.8663
8,3,20,80,0.17,5.83,13.71,466.67,0.03,25.93,6,0,0,10,6,13,7,0.393
22,1,97,455.94,0.1,10,45.59,4559.43,0.15,253.3,12,0,7,8,18,52,45,0.2771
21,2,57,242.13,0.07,15,16.14,3631.98,0.08,201.78,11,3,4,10,9,30,27,0.4059
4,1,9,27,0.5,2,13.5,54,0.01,3,2,0,0,4,4,5,4,0.8808
31,4,62,312.75,0.09,11.25,27.8,3518.46,0.1,195.47,25,1,3,15,18,35,27,0.2751
25,7,99,499.4,0.05,20.24,24.68,10105.41,0.17,561.41,22,0,1,16,17,56,43,0.2088
14,4,59,280.54,0.09,11.2,25.05,3142.03,0.09,174.56,11,0,1,12,15,31,28,0.296
6,1,6,15.51,0.5,2,7.75,31.02,0.01,1.72,2,1,0,4,2,4,2,1
25,1,124,655.39,0.11,8.79,74.53,5762.91,0.22,320.16,17,0,4,10,29,73,51,0.233
11,1,31,118.03,0.33,3,39.34,354.08,0.04,19.67,6,0,3,4,10,16,15,0.3838
12,1,44,157.74,0.19,5.25,30.05,828.13,0.05,46.01,7,1,1,4,8,23,21,0.4206
24,12,96,527.22,0.08,12.14,43.44,6399.33,0.18,355.52,20,0,2,16,29,52,44,0.2095
51,6,82,430.33,0.07,13.95,30.85,6003.1,0.14,333.51,40,0,9,18,20,51,31,0.158
37,4,78,393.46,0.08,12.92,30.46,5082.23,0.13,282.35,23,8,4,15,18,47,31,0.3776
25,7,76,372.92,0.05,21.75,17.15,8111.09,0.12,450.62,20,0,2,18,12,47,29,0.2267
4,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,3,2,3,2,1
10,1,26,93.21,0.19,5.25,17.75,489.35,0.03,27.19,6,0,0,4,8,5,21,0.391
24,1,36,147.15,0.23,4.36,33.72,642.1,0.05,35.67,11,8,3,6,11,20,16,0.4814
38,10,204,1168.5,0.04,27.23,42.91,31823.25,0.39,1767.96,22,8,6,21,32,121,83,0.3406
40,6,211,1115.22,0.04,24.34,45.82,27145.47,0.37,1508.08,33,5,0,17,22,148,63,0.278
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
10,4,49,211.77,0.13,8,26.47,1694.2,0.07,94.12,7,0,1,8,12,25,24,0.3474
17,1,16,48,0.67,1.5,32,72,0.02,4,6,5,4,3,5,11,5,0.6259
15,1,39,168.56,0.22,4.58,36.83,771.46,0.06,42.86,9,0,2,7,13,22,17,0.3346
5,1,8,22.46,0.5,2,11.23,44.92,0.01,2.5,3,0,0,4,3,5,3,0.8752
12,1,50,204.37,0.15,6.65,30.73,1359.08,0.07,75.5,10,0,0,7,10,31,19,0.3187
29,5,68,311.78,0.07,14.77,21.1,4605.8,0.1,255.88,19,4,3,13,11,43,25,0.3574
25,3,36,150.12,0.09,11,13.65,1651.29,0.05,91.74,16,3,4,11,7,22,14,0.3836
255,37,567,3822.41,0.02,49.6,77.06,189602.1,1.27,10533.45,208,2,43,34,73,354,213,0
23,1,103,548.16,0.13,7.55,72.62,4137.71,0.18,229.87,16,0,3,9,31,51,52,0.2442
44,9,112,607.74,0.05,21,28.94,12762.57,0.2,709.03,34,1,7,21,22,68,44,0.2191
11,1,25,86.49,0.67,1.5,57.66,129.72,0.03,7.21,8,0,0,3,8,17,8,0.366
7,1,14,48.43,0.28,3.6,13.45,174.36,0.02,9.69,4,0,1,6,5,8,6,0.4493
10,3,20,80,0.17,5.83,13.71,466.67,0.03,25.93,6,0,1,10,6,13,7,0.393
15,3,26,101.58,0.19,5.14,19.75,522.4,0.03,29.02,11,0,2,8,7,17,9,0.3283
57,12,121,656.58,0.05,21.48,30.57,14101.51,0.22,783.42,42,0,13,21,22,76,45,0.1325
127,23,558,3442.82,0.02,64.29,53.55,221324.02,1.15,12295.78,102,7,16,30,42,378,180,0.1356
4,1,9,25.27,0.27,3.75,6.74,94.75,0.01,5.26,2,0,0,5,2,6,3,0.5505
8,1,14,50.19,0.25,4,12.55,200.76,0.02,11.15,4,0,1,8,4,10,4,0.4482
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
15,2,27,108,0.18,5.5,19.64,594,0.04,33,6,4,3,8,8,16,11,0.5029
4,1,16,59.21,0.25,4,14.8,236.83,0.02,13.16,2,0,0,8,5,11,5,0.5089
14,2,37,162.52,0.22,4.62,35.21,750.07,0.05,41.67,11,0,0,8,13,22,15,0.3153
15,4,30,129.66,0.07,14,9.26,1815.21,0.04,100.84,10,0,3,14,6,18,12,0.3285
12,2,23,97.7,0.2,5,19.54,488.51,0.03,27.14,7,1,2,10,9,14,9,0.4338
38,5,107,584.16,0.07,13.71,42.59,8011.33,0.19,445.07,32,0,2,16,28,59,48,0.1712
9,1,40,172.88,0.17,6,28.81,1037.26,0.06,57.63,6,0,1,8,12,22,18,0.3722
15,3,36,165.06,0.11,8.86,18.62,1463.02,0.06,81.28,9,0,4,13,11,21,15,0.3325
44,6,152,808.93,0.04,25.5,31.72,20627.79,0.27,1145.99,40,0,2,17,23,84,69,0.1388
4,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,5,2,5,2,0.905
21,3,58,284.6,0.13,7.53,37.81,2141.99,0.09,119,14,1,4,11,19,32,26,0.3343
34,6,55,241.58,0.14,7.13,33.91,1721.24,0.08,95.62,27,3,2,9,12,36,19,0.3155
20,1,59,286.62,0.1,10.16,28.22,2910.99,0.1,161.72,11,0,7,13,16,34,25,0.2994
20,12,368,1984.37,0.02,56,35.44,111124.88,0.66,6173.6,11,0,3,24,18,284,84,0.2258
41,14,113,559.82,0.05,20.59,27.19,11525.79,0.19,640.32,36,0,3,14,17,63,50,0.1493
34,7,112,579.03,0.06,16.55,35,9580.34,0.19,532.24,24,0,8,14,22,60,52,0.1961
71,4,298,1490,0.02,66.3,22.47,98787,0.5,5488.17,59,0,7,17,15,181,117,0.0861
4,1,8,24,0.4,2.5,9.6,60,0.01,3.33,2,0,0,5,3,5,3,0.8663
5,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,5,2,5,2,0.905
5,1,15,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,5,6,8,7,0.4745
89,1,405,2660.79,0.06,15.59,170.62,41494.88,0.89,2305.27,59,2,18,16,79,251,154,0.157
15,4,59,286.62,0.09,10.56,27.14,3027.43,0.1,168.19,11,0,2,13,16,33,26,0.2954
9,1,25,102.19,0.2,5.06,20.19,517.32,0.03,28.74,5,0,2,9,8,16,9,0.4055
12,1,24,86.04,0.36,2.75,31.29,236.61,0.03,13.14,4,4,2,4,8,13,11,0.5496
19,5,62,310,0.08,12.79,24.23,3966.18,0.1,220.34,16,0,1,15,17,33,29,0.2562
4,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
19,6,77,377.83,0.06,15.5,24.38,5856.37,0.13,325.35,14,0,3,15,15,46,31,0.2615
6,1,36,155.59,0.27,3.64,42.71,566.79,0.05,31.49,4,0,0,6,14,19,17,0.4138
39,1,154,873.55,0.09,11.35,76.96,9916.01,0.29,550.89,25,1,10,14,37,94,60,0.2479
8,3,17,60.94,0.17,6,10.16,365.67,0.02,20.31,5,0,1,8,4,11,6,0.4185
10,2,24,93.77,0.19,5.14,18.23,482.22,0.03,26.79,8,0,0,8,7,15,9,0.3622
17,4,27,110.36,0.09,11,10.03,1213.98,0.04,67.44,11,0,4,11,6,15,12,0.3244
45,8,80,428.6,0.08,12.13,35.33,5199.15,0.14,288.84,22,13,8,18,23,49,31,0.4108
38,6,100,495.42,0.04,27,18.35,13376.33,0.17,743.13,21,6,8,18,13,61,39,0.3569
4,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,2,0,0,4,5,6,5,0.8258
65,8,167,932.69,0.05,20.97,44.49,19554.3,0.31,1086.35,52,3,6,19,29,103,64,0.2097
4,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,3,2,3,2,1
9,2,18,66.61,0.33,3,22.2,199.82,0.02,11.1,7,0,0,6,7,11,7,0.3853
10,2,19,72.34,0.12,8.1,8.93,585.95,0.02,32.54,7,0,1,9,5,10,9,0.3828
23,4,56,282.49,0.07,14.93,18.92,4217.11,0.09,234.28,16,0,3,19,14,34,22,0.2603
5,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,5,2,5,2,0.905
16,2,66,275.22,0.13,7.95,34.6,2189.21,0.09,121.62,14,0,0,7,11,41,25,0.2765
4,1,11,34.87,0.4,2.5,13.95,87.17,0.01,4.84,2,0,0,5,4,7,4,0.5635
7,1,41,146.98,0.06,16,9.19,2351.74,0.05,130.65,5,0,0,8,4,25,16,0.3944
6,2,21,69.76,0.11,9.33,7.47,651.1,0.02,36.17,4,0,0,7,3,13,8,0.4369
30,2,55,264.4,0.09,10.83,24.41,2864.38,0.09,159.13,16,6,5,13,15,30,25,0.4072
27,7,52,260,0.07,14.62,17.79,3800,0.09,211.11,12,9,4,19,13,32,20,0.4564
8,2,25,102.19,0.26,3.85,26.54,393.42,0.03,21.86,6,0,0,7,10,14,11,0.3869
32,6,128,702.96,0.05,21.44,32.79,15069.64,0.23,837.2,24,1,4,21,24,79,49,0.2517
4,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
6,1,13,39,0.3,3.33,11.7,130,0.01,7.22,3,0,1,5,3,9,4,0.4832
11,2,14,42,0.17,6,7,252,0.01,14,9,0,0,6,2,10,4,0.3755
16,3,52,228.4,0.07,14.3,15.97,3266.13,0.08,181.45,9,2,3,11,10,26,26,0.4071
32,3,71,337.6,0.05,18.31,18.44,6180.62,0.11,343.37,21,3,6,14,13,37,34,0.3332
59,9,198,1053.74,0.04,27.6,38.18,29083.27,0.35,1615.74,52,0,7,15,25,106,92,0.1019
22,3,36,150.12,0.13,7.5,20.02,1125.88,0.05,62.55,15,0,5,9,9,21,15,0.287
30,5,61,267.93,0.14,7.38,36.28,1978.57,0.09,109.92,26,0,2,8,13,37,24,0.2146
24,5,48,196.2,0.08,11.81,16.61,2317.59,0.07,128.75,21,0,1,9,8,27,21,0.2443
66,10,258,1433.08,0.05,21.56,66.46,30900.87,0.48,1716.72,48,2,10,15,32,166,92,0.1833
33,1,84,430.86,0.13,7.79,55.3,3357.12,0.14,186.51,21,0,7,11,24,50,34,0.2258
103,6,200,1116.99,0.04,24,46.54,26807.82,0.37,1489.32,65,20,12,18,30,120,80,0.3168
8,1,15,53.77,0.24,4.2,12.8,225.85,0.02,12.55,4,0,2,7,5,9,6,0.4461
10,1,16,55.35,0.44,2.29,24.22,126.52,0.02,7.03,5,0,2,4,7,8,8,0.4241
12,3,39,162.63,0.07,14,11.62,2276.78,0.05,126.49,8,0,2,12,6,25,14,0.3441
33,5,109,572.02,0.05,20.7,27.63,11840.9,0.19,657.83,27,0,4,18,20,63,46,0.188
58,7,121,696.34,0.12,8.4,82.9,5849.27,0.23,324.96,35,1,19,14,40,73,48,0.2149
8,1,53,207.07,0.13,8,25.88,1656.52,0.07,92.03,5,0,0,6,9,29,24,0.384
22,2,51,216.64,0.14,7,30.95,1516.51,0.07,84.25,17,2,1,7,12,27,24,0.3498
39,13,119,645.73,0.06,16.35,39.5,10555.13,0.22,586.4,31,1,4,17,26,69,50,0.2206
41,10,95,494.9,0.05,18.95,26.12,9377.02,0.16,520.95,34,0,4,18,19,55,40,0.1638
13,2,15,49.83,0.33,3,16.61,149.49,0.02,8.3,9,0,1,6,4,11,4,0.3703
10,1,22,85.95,0.3,3.33,25.79,286.51,0.03,15.92,5,1,2,6,9,12,10,0.4709
12,3,33,122.11,0.16,6.43,19,785.02,0.04,43.61,10,0,0,6,7,18,15,0.3317
5,1,17,58.81,0.44,2.29,25.73,134.42,0.02,7.47,3,0,0,4,7,9,8,0.4707
48,7,99,503.66,0.05,19.5,25.83,9821.35,0.17,545.63,24,4,13,17,17,60,39,0.318
22,4,65,312.48,0.05,18.55,16.85,5795.05,0.1,321.95,18,0,2,17,11,41,24,0.2461
36,4,97,485,0.09,10.68,45.4,5180.68,0.16,287.82,22,8,4,10,22,50,47,0.3755
12,2,22,78.87,0.18,5.5,14.34,433.78,0.03,24.1,8,0,2,6,6,11,11,0.3675
7,1,15,57.11,0.29,3.5,16.32,199.89,0.02,11.1,4,0,1,7,7,8,7,0.4443
4,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,4,3,4,3,0.9345
18,3,48,220.08,0.07,14.17,15.53,3117.77,0.07,173.21,11,4,1,15,9,31,17,0.4225
11,2,43,197.15,0.18,5.7,34.59,1123.77,0.07,62.43,6,0,3,9,15,24,19,0.3669
4,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,5,2,5,2,0.905
69,10,210,1197.09,0.06,17.64,67.88,21110.89,0.4,1172.83,45,10,11,15,37,123,87,0.2886
171,18,466,3039.98,0.03,35.5,85.63,107919.29,1.01,5995.52,117,36,16,23,69,253,213,0.2576
8,2,22,88,0.16,6.43,13.69,565.71,0.03,31.43,8,0,0,9,7,12,10,0.3642
53,8,172,902.64,0.03,36.11,25,32595.46,0.3,1810.86,46,0,5,20,18,107,65,0.1196
26,6,90,437.22,0.05,20.92,20.9,9147.95,0.15,508.22,19,0,3,16,13,63,34,0.2281
52,12,138,707.84,0.1,10.04,70.51,7105.64,0.24,394.76,47,1,2,9,26,80,58,0.1797
4,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,3,2,3,2,1
4,1,12,41.51,0.33,3,13.84,124.54,0.01,6.92,2,0,0,6,5,7,5,0.5197
93,10,130,691.85,0.1,9.83,70.36,6803.2,0.23,377.96,51,31,9,10,30,71,59,0.3825
27,2,57,285,0.16,6.14,46.44,1748.86,0.1,97.16,16,4,5,10,22,30,27,0.3805
9,3,24,98.1,0.14,7.14,13.73,700.71,0.03,38.93,6,0,1,10,7,14,10,0.3868
14,2,37,165,0.14,7,23.57,1154.99,0.05,64.17,8,0,3,11,11,23,14,0.345
13,1,28,106.61,0.24,4.13,25.84,439.75,0.04,24.43,6,2,1,6,8,17,11,0.4714
41,4,102,448.02,0.05,18.64,24.04,8349.4,0.15,463.86,32,0,7,10,11,61,41,0.1806
4,1,19,72.34,0.4,2.5,28.94,180.85,0.02,10.05,2,0,0,5,9,10,9,0.5028
4,2,16,62.51,0.25,4,15.63,250.04,0.02,13.89,2,0,0,8,7,9,7,0.5059
63,6,287,1740.97,0.03,32.67,53.29,56878.2,0.58,3159.9,44,7,9,23,44,162,125,0.2589
6,1,25,83.05,0.11,9,9.23,747.43,0.03,41.52,5,1,0,6,4,13,12,0.4719
7,2,22,89.92,0.16,6.19,14.53,556.41,0.03,30.91,4,0,1,9,8,11,11,0.4292
8,1,22,81.41,0.15,6.75,12.06,549.52,0.03,30.53,5,0,1,9,4,16,6,0.4124
20,9,92,468.05,0.06,16.89,27.71,7904.79,0.16,439.15,17,0,1,16,18,54,38,0.2325
123,24,529,3124.75,0.02,64.55,48.41,201710.52,1.04,11206.14,99,15,5,22,38,306,223,0.1979
9,2,18,72,0.17,5.83,12.34,420,0.02,23.33,4,0,3,10,6,11,7,0.4359
5,1,11,36.54,0.33,3,12.18,109.62,0.01,6.09,2,0,1,6,4,7,4,0.5236
11,1,19,70.31,0.29,3.43,20.51,241.06,0.02,13.39,6,0,3,6,7,11,8,0.3996
284,23,581,3049.05,0.01,143.69,21.22,438109.78,1.02,24339.43,120,96,65,22,16,372,209,0.2336
33,1,98,430.45,0.07,13.88,31.02,5972.45,0.14,331.8,22,4,7,9,12,61,37,0.3391
12,3,29,125.34,0.12,8.56,14.65,1072.32,0.04,59.57,9,0,1,11,9,15,14,0.3409
138,1,422,2682.89,0.06,16.2,165.61,43462.77,0.89,2414.6,86,27,23,12,70,233,189,0.294
67,18,301,1770.68,0.03,33.59,52.71,59485.13,0.59,3304.73,60,1,4,22,37,188,113,0.1206
17,1,68,326.9,0.1,9.75,33.53,3187.28,0.11,177.07,10,1,4,12,16,42,26,0.3646
14,2,29,123.19,0.17,5.85,21.06,720.66,0.04,40.04,12,0,2,9,10,16,13,0.3155
92,13,318,1908,0.03,34.67,55.03,66158.78,0.64,3675.49,86,1,3,21,43,176,142,0.091
10,1,19,74.23,0.25,4,18.56,296.92,0.02,16.5,7,0,1,8,7,12,7,0.3833
76,2,419,2504.48,0.03,34.89,71.77,87390.38,0.83,4855.02,63,0,13,16,47,214,205,0.0668
53,5,215,1231.5,0.04,23.14,53.22,28495.61,0.41,1583.09,40,6,7,17,36,117,98,0.2695
51,8,127,623.18,0.03,32.25,19.32,20097.4,0.21,1116.52,39,5,4,18,12,84,43,0.2772
68,11,203,1108.26,0.03,29.59,37.45,32796.42,0.37,1822.02,53,2,9,17,27,109,94,0.1803
42,2,171,739.05,0.02,65.33,11.31,48284.58,0.25,2682.48,28,3,8,14,6,115,56,0.2835
29,6,115,580.11,0.06,16.58,34.99,9617.54,0.19,534.31,26,0,1,14,19,70,45,0.1898
55,8,142,755.71,0.04,25.77,29.32,19476.81,0.25,1082.04,40,10,5,18,22,79,63,0.3164
9,2,24,100.08,0.13,8,12.51,800.63,0.03,44.48,5,0,2,12,6,16,8,0.4048
24,2,82,406.24,0.08,12.32,32.99,5003.22,0.14,277.96,21,0,1,12,19,43,39,0.2262
36,10,93,480.8,0.05,20.12,23.9,9672.63,0.16,537.37,30,0,3,19,17,57,36,0.1765
19,3,67,337.97,0.1,9.75,34.66,3295.25,0.11,183.07,14,0,3,13,20,37,30,0.2689
105,31,324,2011.86,0.04,25.37,79.3,51041.71,0.67,2835.65,73,12,14,20,54,187,137,0.2128
5,1,17,60.94,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,6,6,10,7,0.4696
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
9,1,27,110.36,0.5,2,55.18,220.72,0.04,12.26,6,0,1,4,13,14,13,0.3859
31,5,108,570.82,0.06,16.35,34.92,9331.72,0.19,518.42,23,1,5,16,23,61,47,0.2634
153,28,411,2598.31,0.02,42.37,61.32,110091.46,0.87,6116.19,119,11,17,26,54,235,176,0.156
11,2,26,110.45,0.15,6.86,16.11,757.34,0.04,42.07,9,0,0,12,7,18,8,0.3461
23,3,65,301.85,0.08,12.73,23.72,3841.74,0.1,213.43,15,2,4,14,11,45,20,0.3502
18,4,52,241.48,0.14,7.33,32.93,1770.86,0.08,98.38,13,0,2,10,15,30,22,0.2848
19,4,53,252.01,0.1,9.75,25.85,2457.09,0.08,136.5,16,0,0,13,14,32,21,0.2638
22,3,48,214.05,0.08,12.6,16.99,2697.06,0.07,149.84,19,0,1,12,10,27,21,0.2538
34,5,84,379.98,0.05,19.5,19.49,7409.59,0.13,411.64,20,3,8,13,10,54,30,0.3315
5,1,15,53.77,0.4,2.5,21.51,134.44,0.02,7.47,3,0,0,5,7,8,7,0.4734
13,5,39,171.3,0.06,16.25,10.54,2783.63,0.06,154.65,7,0,4,15,6,26,13,0.3525
4,1,9,27,0.5,2,13.5,54,0.01,3,2,0,0,4,4,5,4,0.8808
11,1,19,70.31,0.29,3.43,20.51,241.06,0.02,13.39,6,0,3,6,7,11,8,0.3996
4,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,2,0,0,4,5,6,5,0.8258
68,4,195,983.66,0.04,27.63,35.6,27179.99,0.33,1510,52,3,9,14,19,120,75,0.2134
69,8,218,1282.42,0.04,26.8,47.85,34372.13,0.43,1909.56,54,4,9,21,38,121,97,0.2114
19,2,61,232.25,0.08,13,17.87,3019.23,0.08,167.74,14,0,3,7,7,35,26,0.2816
18,2,43,197.15,0.18,5.7,34.59,1123.77,0.07,62.43,12,1,3,9,15,24,19,0.3614
21,4,56,256.76,0.05,19.17,13.4,4921.19,0.09,273.4,20,0,1,15,9,33,23,0.2421
5,1,8,22.46,0.5,2,11.23,44.92,0.01,2.5,3,0,0,4,3,5,3,0.8752
40,7,118,640.3,0.04,27.6,23.2,17672.26,0.21,981.79,35,0,3,23,20,70,48,0.1573
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
84,18,267,1499.13,0.02,43.19,34.71,64740.1,0.5,3596.67,62,11,7,22,27,161,106,0.2479
67,9,108,524.66,0.05,18.67,28.11,9793.69,0.17,544.09,41,14,10,14,15,68,40,0.3503
4,1,11,34.87,0.33,3,11.62,104.61,0.01,5.81,2,0,0,6,3,8,3,0.525
80,8,326,1810.8,0.04,27.91,64.87,50542.51,0.6,2807.92,66,0,12,13,34,180,146,0.0642
38,3,194,951.94,0.03,39.81,23.91,37898.98,0.32,2105.5,29,5,4,14,16,103,91,0.2991
16,5,73,350.94,0.05,18.46,19.01,6478.84,0.12,359.94,11,0,3,15,13,41,32,0.2879
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
16,2,63,325.71,0.11,8.91,36.56,2901.74,0.11,161.21,15,0,1,14,22,35,28,0.2648
33,5,97,493.48,0.03,29.29,16.85,14452.03,0.16,802.89,27,3,3,20,14,56,41,0.2952
4,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,3,2,3,2,1
74,8,155,874.8,0.05,19.67,44.48,17204.35,0.29,955.8,44,10,15,20,30,96,59,0.3029
139,31,377,2318.45,0.03,35.22,65.83,81653.08,0.77,4536.28,113,3,13,23,48,230,147,0.0775
59,5,184,920,0.07,14.67,62.7,13500,0.31,750,49,4,4,9,23,109,75,0.2348
66,7,124,641.07,0.04,26.5,24.19,16988.37,0.21,943.8,35,6,15,18,18,71,53,0.2993
4,1,9,27,0.5,2,13.5,54,0.01,3,2,0,0,4,4,5,4,0.8808
